o1-mini time:212.86131811141968
o1-preview time:330.23504114151
ChatGPT-4o-latest time:118.98718476295471
gpt-4o-2024-05-13 time:155.1635398864746
gpt-4o-2024-08-06 time:113.34012532234192
gpt-4-1106-preview time:238.85686588287354
gpt-4-turbo-2024-04-09 time:320.7183165550232
gpt-3.5-turbo-0125 time:58.754801750183105
gpt-4o-mini-2024-07-18 time:166.55397081375122
